@relation german_credit

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute age numeric
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,12,'critical/other existing credit',2121,<100,30,yes,good
<0,12,'existing paid',701,<100,40,yes,good
0<=X<200,12,'existing paid',639,<100,30,yes,bad
0<=X<200,12,'critical/other existing credit',1860,<100,34,yes,good
<0,12,'critical/other existing credit',3499,<100,29,yes,bad
0<=X<200,48,'existing paid',8487,'no known savings',24,yes,good
<0,36,'delayed previously',6887,<100,29,yes,bad
'no checking',15,'existing paid',2708,<100,27,yes,good
'no checking',18,'existing paid',1984,<100,47,yes,good
'no checking',60,'existing paid',10144,100<=X<500,21,yes,good
'no checking',12,'critical/other existing credit',1240,'no known savings',38,yes,good
'no checking',27,'delayed previously',8613,>=1000,27,yes,good
0<=X<200,12,'existing paid',766,500<=X<1000,66,yes,bad
0<=X<200,15,'critical/other existing credit',2728,'no known savings',35,yes,good
>=200,12,'existing paid',1881,<100,44,yes,good
>=200,6,'existing paid',709,>=1000,27,no,good
0<=X<200,36,'existing paid',4795,<100,30,yes,good
<0,27,'existing paid',3416,<100,27,yes,good
<0,18,'existing paid',2462,<100,22,yes,bad
'no checking',21,'critical/other existing credit',2288,<100,23,yes,good
0<=X<200,48,'all paid',3566,100<=X<500,30,yes,good
<0,6,'critical/other existing credit',860,<100,39,yes,good
'no checking',12,'critical/other existing credit',682,100<=X<500,51,yes,good
<0,36,'critical/other existing credit',5371,<100,28,yes,good
'no checking',18,'critical/other existing credit',1582,>=1000,46,yes,good
'no checking',6,'existing paid',1346,100<=X<500,42,yes,good
'no checking',10,'existing paid',1924,<100,38,no,good
>=200,36,'existing paid',5848,<100,24,yes,good
0<=X<200,24,'critical/other existing credit',7758,>=1000,29,yes,good
0<=X<200,24,'delayed previously',6967,100<=X<500,36,yes,good
<0,12,'existing paid',1282,<100,20,yes,bad
<0,9,'critical/other existing credit',1288,100<=X<500,48,no,good
<0,12,'all paid',339,<100,45,yes,good
0<=X<200,24,'existing paid',3512,100<=X<500,38,yes,good
'no checking',6,'critical/other existing credit',1898,'no known savings',34,yes,good
'no checking',24,'critical/other existing credit',2872,100<=X<500,36,yes,good
'no checking',18,'critical/other existing credit',1055,<100,30,yes,good
'no checking',15,'existing paid',1262,500<=X<1000,36,yes,good
0<=X<200,10,'existing paid',7308,<100,70,yes,good
'no checking',36,'existing paid',909,500<=X<1000,36,yes,good
'no checking',6,'existing paid',2978,500<=X<1000,32,yes,good
<0,18,'existing paid',1131,<100,33,yes,bad
0<=X<200,11,'existing paid',1577,>=1000,20,yes,good
'no checking',24,'existing paid',3972,<100,25,yes,good
0<=X<200,24,'critical/other existing credit',1935,<100,31,yes,bad
<0,15,'no credits/all paid',950,<100,33,yes,bad
'no checking',12,'existing paid',763,<100,26,yes,good
0<=X<200,24,'delayed previously',2064,<100,34,yes,bad
0<=X<200,8,'existing paid',1414,<100,33,no,good
<0,21,'delayed previously',3414,<100,26,yes,bad
'no checking',30,'all paid',7485,'no known savings',53,yes,bad
<0,12,'existing paid',2577,<100,42,yes,good
<0,6,'critical/other existing credit',338,500<=X<1000,52,yes,good
'no checking',12,'existing paid',1963,<100,31,yes,good
<0,21,'critical/other existing credit',571,<100,65,yes,good
'no checking',36,'delayed previously',9572,<100,28,yes,bad
0<=X<200,36,'delayed previously',4455,<100,30,yes,bad
<0,21,'all paid',1647,'no known savings',40,yes,bad
'no checking',24,'critical/other existing credit',3777,>=1000,50,yes,good
0<=X<200,18,'critical/other existing credit',884,<100,36,yes,bad
'no checking',15,'critical/other existing credit',1360,<100,31,yes,good
0<=X<200,9,'all paid',5129,<100,74,yes,bad
0<=X<200,16,'critical/other existing credit',1175,<100,68,yes,good
<0,12,'existing paid',674,100<=X<500,20,yes,bad
0<=X<200,18,'no credits/all paid',3244,<100,33,yes,good
'no checking',24,'existing paid',4591,>=1000,54,yes,bad
0<=X<200,48,'no credits/all paid',3844,100<=X<500,34,yes,bad
0<=X<200,27,'existing paid',3915,<100,36,yes,bad
'no checking',6,'existing paid',2108,<100,29,yes,good
0<=X<200,45,'existing paid',3031,100<=X<500,21,yes,bad
0<=X<200,9,'critical/other existing credit',1501,<100,34,yes,bad
'no checking',6,'critical/other existing credit',1382,<100,28,yes,good
0<=X<200,12,'existing paid',951,100<=X<500,27,yes,bad
0<=X<200,24,'existing paid',2760,'no known savings',36,yes,good
0<=X<200,18,'delayed previously',4297,<100,40,yes,bad
'no checking',9,'critical/other existing credit',936,500<=X<1000,52,yes,good
<0,12,'existing paid',1168,<100,27,yes,good
'no checking',27,'delayed previously',5117,<100,26,yes,good
<0,12,'existing paid',902,<100,21,yes,bad
'no checking',12,'critical/other existing credit',1495,<100,38,yes,good
<0,30,'critical/other existing credit',10623,<100,38,yes,good
'no checking',12,'critical/other existing credit',1935,<100,43,yes,good
0<=X<200,12,'critical/other existing credit',1424,<100,26,yes,good
<0,24,'existing paid',6568,<100,21,yes,good
'no checking',12,'existing paid',1413,>=1000,55,no,good
'no checking',9,'critical/other existing credit',3074,'no known savings',33,yes,good
'no checking',36,'existing paid',3835,'no known savings',45,yes,good
<0,27,'no credits/all paid',5293,<100,50,yes,bad
>=200,30,'delayed previously',1908,<100,66,yes,bad
'no checking',36,'critical/other existing credit',3342,'no known savings',51,yes,good
0<=X<200,6,'critical/other existing credit',932,'no known savings',39,yes,good
<0,18,'no credits/all paid',3104,<100,31,yes,good
>=200,36,'existing paid',3913,<100,23,yes,good
<0,24,'existing paid',3021,<100,24,yes,good
'no checking',10,'existing paid',1364,<100,64,yes,good
0<=X<200,12,'existing paid',625,<100,26,yes,good
<0,12,'existing paid',1200,'no known savings',23,yes,good
'no checking',12,'existing paid',707,<100,30,yes,good
'no checking',24,'delayed previously',2978,'no known savings',32,yes,good
'no checking',15,'existing paid',4657,<100,30,yes,good
'no checking',36,'no credits/all paid',2613,<100,27,yes,good
0<=X<200,48,'existing paid',10961,>=1000,27,yes,bad
<0,12,'existing paid',7865,<100,53,yes,bad
'no checking',9,'existing paid',1478,<100,22,yes,bad
<0,24,'existing paid',3149,<100,22,yes,good
>=200,36,'existing paid',4210,<100,26,yes,bad
'no checking',9,'existing paid',2507,500<=X<1000,51,yes,good
'no checking',12,'existing paid',2141,100<=X<500,35,yes,good
0<=X<200,18,'existing paid',866,<100,25,yes,good
'no checking',4,'critical/other existing credit',1544,<100,42,yes,good
<0,24,'existing paid',1823,<100,30,yes,bad
0<=X<200,6,'existing paid',14555,'no known savings',23,yes,bad
0<=X<200,21,'existing paid',2767,100<=X<500,61,yes,bad
'no checking',12,'critical/other existing credit',1291,<100,35,yes,good
<0,30,'existing paid',2522,<100,39,yes,good
<0,24,'existing paid',915,'no known savings',29,yes,bad
'no checking',6,'existing paid',1595,<100,51,yes,good
<0,48,'no credits/all paid',4605,<100,24,yes,bad
'no checking',12,'critical/other existing credit',1185,<100,27,yes,good
'no checking',12,'all paid',3447,500<=X<1000,35,yes,good
'no checking',24,'existing paid',1258,<100,25,yes,good
'no checking',12,'critical/other existing credit',717,<100,52,yes,good
'no checking',6,'no credits/all paid',1204,100<=X<500,35,no,good
>=200,24,'existing paid',1925,<100,26,yes,good
'no checking',18,'existing paid',433,<100,22,yes,bad
<0,6,'critical/other existing credit',666,>=1000,39,yes,good
>=200,12,'existing paid',2251,<100,46,yes,good
0<=X<200,30,'existing paid',2150,<100,24,yes,bad
'no checking',24,'delayed previously',4151,100<=X<500,35,yes,good
0<=X<200,9,'existing paid',2030,'no known savings',24,yes,good
0<=X<200,60,'delayed previously',7418,'no known savings',27,yes,good
'no checking',24,'critical/other existing credit',2684,<100,35,yes,good
<0,12,'all paid',2149,<100,29,yes,bad
'no checking',15,'existing paid',3812,100<=X<500,23,yes,good
'no checking',11,'critical/other existing credit',1154,100<=X<500,57,yes,good
<0,12,'existing paid',1657,<100,27,yes,good
<0,24,'existing paid',1603,<100,55,yes,good
<0,18,'critical/other existing credit',5302,<100,36,yes,good
'no checking',12,'critical/other existing credit',2748,<100,57,yes,good
'no checking',10,'critical/other existing credit',1231,<100,32,no,good
0<=X<200,15,'existing paid',802,<100,37,yes,bad
'no checking',36,'critical/other existing credit',6304,'no known savings',36,yes,good
'no checking',24,'existing paid',1533,<100,38,yes,good
<0,14,'existing paid',8978,<100,45,no,bad
'no checking',24,'existing paid',999,'no known savings',25,yes,good
'no checking',18,'existing paid',2662,'no known savings',32,no,good
'no checking',12,'critical/other existing credit',1402,500<=X<1000,37,yes,good
0<=X<200,48,'all paid',12169,'no known savings',36,yes,good
0<=X<200,48,'existing paid',3060,<100,28,yes,bad
<0,30,'existing paid',11998,<100,34,yes,bad
'no checking',9,'existing paid',2697,<100,32,yes,good
'no checking',18,'critical/other existing credit',2404,<100,26,yes,good
<0,12,'existing paid',1262,'no known savings',49,yes,good
'no checking',6,'existing paid',4611,<100,32,yes,bad
'no checking',24,'existing paid',1901,100<=X<500,29,yes,good
'no checking',15,'critical/other existing credit',3368,>=1000,23,yes,good
'no checking',12,'existing paid',1574,<100,50,yes,good
>=200,18,'all paid',1445,'no known savings',49,yes,good
'no checking',15,'critical/other existing credit',1520,'no known savings',63,yes,good
0<=X<200,24,'critical/other existing credit',3878,100<=X<500,37,yes,good
<0,47,'existing paid',10722,<100,35,yes,good
<0,48,'existing paid',4788,<100,26,yes,good
0<=X<200,48,'delayed previously',7582,100<=X<500,31,yes,good
0<=X<200,12,'existing paid',1092,<100,49,yes,good
<0,24,'delayed previously',1024,<100,48,yes,bad
'no checking',12,'existing paid',1076,<100,26,no,good
0<=X<200,36,'existing paid',9398,<100,28,yes,bad
<0,24,'critical/other existing credit',6419,<100,44,yes,good
>=200,42,'critical/other existing credit',4796,<100,56,yes,good
'no checking',48,'critical/other existing credit',7629,'no known savings',46,yes,good
0<=X<200,48,'existing paid',9960,<100,26,yes,bad
'no checking',12,'existing paid',4675,'no known savings',20,yes,good
'no checking',10,'existing paid',1287,'no known savings',45,no,good
'no checking',18,'existing paid',2515,<100,43,yes,good
0<=X<200,21,'critical/other existing credit',2745,>=1000,32,yes,good
'no checking',6,'existing paid',672,<100,54,yes,good
0<=X<200,36,'no credits/all paid',3804,<100,42,yes,bad
>=200,24,'critical/other existing credit',1344,'no known savings',37,yes,bad
<0,10,'critical/other existing credit',1038,<100,49,yes,good
'no checking',48,'critical/other existing credit',10127,500<=X<1000,44,yes,bad
'no checking',6,'existing paid',1543,>=1000,33,yes,good
'no checking',30,'existing paid',4811,'no known savings',24,yes,good
<0,12,'existing paid',727,100<=X<500,33,yes,bad
0<=X<200,8,'existing paid',1237,<100,24,yes,bad
0<=X<200,9,'existing paid',276,<100,22,yes,good
0<=X<200,48,'existing paid',5381,'no known savings',40,yes,good
'no checking',24,'existing paid',5511,100<=X<500,25,yes,good
>=200,24,'existing paid',3749,<100,26,yes,good
0<=X<200,12,'existing paid',685,<100,25,yes,bad
>=200,4,'existing paid',1494,'no known savings',29,no,good
<0,36,'all paid',2746,<100,31,yes,bad
<0,12,'existing paid',708,<100,38,yes,good
0<=X<200,24,'existing paid',4351,'no known savings',48,yes,good
'no checking',12,'critical/other existing credit',701,<100,32,yes,good
<0,15,'delayed previously',3643,<100,27,yes,good
0<=X<200,30,'critical/other existing credit',4249,<100,28,yes,bad
<0,24,'existing paid',1938,<100,32,yes,bad
<0,24,'existing paid',2910,<100,34,yes,good
<0,18,'existing paid',2659,>=1000,28,yes,good
'no checking',18,'critical/other existing credit',1028,<100,36,yes,good
<0,8,'critical/other existing credit',3398,<100,39,no,good
'no checking',12,'critical/other existing credit',5801,'no known savings',49,yes,good
'no checking',24,'existing paid',1525,>=1000,34,yes,good
>=200,36,'existing paid',4473,<100,31,yes,good
0<=X<200,6,'existing paid',1068,<100,28,yes,good
<0,24,'critical/other existing credit',6615,<100,75,yes,good
'no checking',18,'critical/other existing credit',1864,100<=X<500,30,yes,bad
0<=X<200,60,'existing paid',7408,100<=X<500,24,yes,bad
'no checking',48,'critical/other existing credit',11590,100<=X<500,24,yes,bad
<0,24,'no credits/all paid',4110,<100,23,yes,bad
<0,6,'critical/other existing credit',3384,<100,44,yes,bad
0<=X<200,13,'existing paid',2101,<100,23,yes,good
<0,15,'existing paid',1275,'no known savings',24,yes,bad
<0,24,'existing paid',4169,<100,28,yes,good
0<=X<200,10,'existing paid',1521,<100,31,yes,good
0<=X<200,24,'critical/other existing credit',5743,<100,24,yes,good
<0,21,'existing paid',3599,<100,26,yes,good
0<=X<200,18,'existing paid',3213,500<=X<1000,25,yes,good
0<=X<200,18,'existing paid',4439,<100,33,yes,good
>=200,10,'existing paid',3949,<100,37,yes,good
'no checking',15,'critical/other existing credit',1459,<100,43,yes,good
0<=X<200,13,'critical/other existing credit',882,<100,23,yes,good
0<=X<200,24,'existing paid',3758,500<=X<1000,23,yes,good
'no checking',6,'delayed previously',1743,100<=X<500,34,yes,good
0<=X<200,9,'critical/other existing credit',1136,>=1000,32,yes,bad
'no checking',9,'existing paid',1236,<100,23,yes,good
0<=X<200,9,'existing paid',959,<100,29,no,bad
'no checking',18,'critical/other existing credit',3229,'no known savings',38,yes,good
<0,12,'no credits/all paid',6199,<100,28,yes,bad
'no checking',10,'existing paid',727,500<=X<1000,46,yes,good
0<=X<200,24,'existing paid',1246,<100,23,yes,bad
'no checking',12,'critical/other existing credit',2331,'no known savings',49,yes,good
'no checking',36,'delayed previously',4463,<100,26,yes,bad
'no checking',12,'existing paid',776,<100,28,yes,good
<0,30,'existing paid',2406,<100,23,yes,bad
0<=X<200,18,'existing paid',1239,'no known savings',61,yes,good
>=200,12,'existing paid',3399,'no known savings',37,yes,good
>=200,12,'delayed previously',2247,<100,36,yes,good
'no checking',6,'existing paid',1766,<100,21,yes,good
<0,18,'existing paid',2473,<100,25,yes,bad
'no checking',12,'existing paid',1542,<100,36,yes,good
'no checking',18,'critical/other existing credit',3850,<100,27,yes,good
<0,18,'existing paid',3650,<100,22,yes,good
<0,36,'existing paid',3446,<100,42,yes,bad
0<=X<200,18,'existing paid',3001,<100,40,yes,good
'no checking',36,'existing paid',3079,'no known savings',36,yes,good
'no checking',18,'critical/other existing credit',6070,<100,33,yes,good
'no checking',10,'critical/other existing credit',2146,<100,23,yes,good
'no checking',60,'critical/other existing credit',13756,'no known savings',63,yes,good
0<=X<200,60,'all paid',14782,100<=X<500,60,yes,bad
<0,48,'all paid',7685,<100,37,yes,bad
'no checking',18,'delayed previously',2320,<100,34,yes,good
'no checking',7,'delayed previously',846,'no known savings',36,yes,good
0<=X<200,36,'existing paid',14318,<100,57,yes,bad
'no checking',6,'critical/other existing credit',362,100<=X<500,52,yes,good
<0,20,'existing paid',2212,'no known savings',39,yes,good
0<=X<200,18,'existing paid',12976,<100,38,yes,bad
'no checking',22,'existing paid',1283,'no known savings',25,yes,good
>=200,12,'existing paid',1330,<100,26,yes,good
'no checking',30,'delayed previously',4272,100<=X<500,26,yes,good
'no checking',18,'critical/other existing credit',2238,<100,25,yes,good
'no checking',18,'existing paid',1126,'no known savings',21,yes,good
0<=X<200,18,'critical/other existing credit',7374,<100,40,yes,good
0<=X<200,15,'critical/other existing credit',2326,500<=X<1000,27,yes,good
'no checking',9,'existing paid',1449,<100,27,yes,good
'no checking',18,'existing paid',1820,<100,30,yes,good
0<=X<200,12,'existing paid',983,>=1000,19,yes,good
<0,36,'existing paid',3249,<100,39,yes,good
<0,6,'critical/other existing credit',1957,<100,31,yes,good
'no checking',9,'critical/other existing credit',2406,<100,31,yes,good
0<=X<200,39,'delayed previously',11760,100<=X<500,32,yes,good
<0,12,'existing paid',2578,<100,55,yes,good
<0,36,'critical/other existing credit',2348,<100,46,yes,good
0<=X<200,12,'existing paid',1223,<100,46,yes,bad
'no checking',24,'critical/other existing credit',1516,>=1000,43,yes,good
'no checking',18,'existing paid',1473,<100,39,yes,good
0<=X<200,18,'critical/other existing credit',1887,'no known savings',28,yes,good
'no checking',24,'delayed previously',8648,<100,27,yes,bad
'no checking',14,'delayed previously',802,<100,27,yes,good
0<=X<200,18,'delayed previously',2899,'no known savings',43,yes,good
0<=X<200,24,'existing paid',2039,<100,22,yes,bad
'no checking',24,'critical/other existing credit',2197,'no known savings',43,yes,good
<0,15,'existing paid',1053,<100,27,no,good
'no checking',24,'existing paid',3235,500<=X<1000,26,yes,good
>=200,12,'critical/other existing credit',939,500<=X<1000,28,yes,bad
0<=X<200,24,'existing paid',1967,<100,20,yes,good
'no checking',33,'critical/other existing credit',7253,<100,35,yes,good
'no checking',12,'critical/other existing credit',2292,<100,42,yes,bad
'no checking',10,'existing paid',1597,500<=X<1000,40,no,good
<0,24,'existing paid',1381,'no known savings',35,yes,bad
'no checking',36,'critical/other existing credit',5842,<100,35,yes,good
<0,12,'existing paid',2579,<100,33,yes,bad
<0,18,'delayed previously',8471,'no known savings',23,yes,good
'no checking',21,'existing paid',2782,500<=X<1000,31,yes,good
0<=X<200,18,'existing paid',1042,'no known savings',33,yes,bad
'no checking',15,'existing paid',3186,>=1000,20,yes,good
0<=X<200,12,'existing paid',2028,'no known savings',30,yes,good
0<=X<200,12,'critical/other existing credit',958,<100,47,yes,good
'no checking',21,'delayed previously',1591,100<=X<500,34,yes,good
0<=X<200,12,'existing paid',2762,'no known savings',25,yes,bad
0<=X<200,18,'existing paid',2779,<100,21,yes,good
'no checking',28,'critical/other existing credit',2743,<100,29,yes,good
'no checking',18,'critical/other existing credit',1149,>=1000,46,yes,good
'no checking',9,'existing paid',1313,<100,20,yes,good
<0,18,'critical/other existing credit',1190,<100,55,yes,bad
'no checking',5,'existing paid',3448,<100,74,yes,good
0<=X<200,24,'existing paid',11328,<100,29,yes,bad
<0,6,'critical/other existing credit',1872,<100,36,yes,good
'no checking',24,'critical/other existing credit',2058,<100,33,yes,good
<0,9,'existing paid',2136,<100,25,yes,good
0<=X<200,12,'existing paid',1484,'no known savings',25,yes,bad
'no checking',6,'existing paid',660,500<=X<1000,23,yes,good
'no checking',24,'critical/other existing credit',1287,>=1000,37,yes,good
<0,42,'critical/other existing credit',3394,<100,65,yes,good
>=200,12,'all paid',609,<100,26,yes,bad
'no checking',12,'existing paid',1884,<100,39,yes,good
<0,12,'existing paid',1620,<100,30,yes,good
0<=X<200,20,'delayed previously',2629,<100,29,yes,good
'no checking',12,'existing paid',719,<100,41,yes,bad
0<=X<200,48,'critical/other existing credit',5096,<100,30,yes,bad
'no checking',9,'critical/other existing credit',1244,'no known savings',41,yes,good
<0,36,'existing paid',1842,<100,34,yes,bad
0<=X<200,7,'existing paid',2576,<100,35,yes,good
>=200,12,'existing paid',1424,'no known savings',55,yes,good
0<=X<200,15,'delayed previously',1512,>=1000,61,yes,bad
'no checking',36,'critical/other existing credit',11054,'no known savings',30,yes,good
'no checking',6,'existing paid',518,<100,29,yes,good
'no checking',12,'no credits/all paid',2759,<100,34,yes,good
'no checking',24,'existing paid',2670,<100,35,yes,good
<0,24,'existing paid',4817,<100,31,yes,bad
'no checking',24,'existing paid',2679,<100,29,yes,good
<0,11,'critical/other existing credit',3905,<100,36,yes,good
<0,12,'existing paid',3386,<100,35,yes,bad
<0,6,'existing paid',343,<100,27,yes,good
'no checking',18,'existing paid',4594,<100,32,yes,good
<0,36,'existing paid',3620,<100,37,yes,good
<0,15,'existing paid',1721,<100,36,yes,good
0<=X<200,12,'existing paid',3017,<100,34,yes,good
0<=X<200,12,'existing paid',754,'no known savings',38,yes,good
'no checking',18,'existing paid',1950,<100,34,yes,good
<0,24,'existing paid',2924,<100,63,yes,good
<0,24,'delayed previously',1659,<100,29,yes,bad
'no checking',48,'delayed previously',7238,'no known savings',32,yes,good
'no checking',33,'delayed previously',2764,<100,26,yes,good
'no checking',24,'delayed previously',4679,<100,35,yes,good
0<=X<200,24,'existing paid',3092,100<=X<500,22,yes,bad
<0,6,'existing paid',448,<100,23,yes,bad
<0,9,'existing paid',654,<100,28,yes,bad
